year,housing_type,fires,population,total_units,fires_per_1000_units
2022,Multifamily (<25% SF),217,145285.215995858,73544.42893896281,2.9505973889619317
2022,Mixed-low (25-50% SF),377,346143.95550741605,169333.35552370484,2.2263776609991295
2022,Mixed-high (50-75% SF),334,367738.39223348815,162096.00023401523,2.0605073506922436
2022,Single-family (>75% SF),92,429897.74144003063,166658.9058433194,0.5520257050438799
2023,Multifamily (<25% SF),216,145285.215995858,73544.42893896281,2.937000165971324
2023,Mixed-low (25-50% SF),362,346143.95550741605,169333.35552370484,2.1377949954421345
2023,Mixed-high (50-75% SF),291,367738.39223348815,162096.00023401523,1.7952324522498289
2023,Single-family (>75% SF),134,429897.74144003063,166658.9058433194,0.8040374399552165
2024,Multifamily (<25% SF),214,145285.215995858,73544.42893896281,2.909805719990108
2024,Mixed-low (25-50% SF),386,346143.95550741605,169333.35552370484,2.279527260333326
2024,Mixed-high (50-75% SF),314,367738.39223348815,162096.00023401523,1.937123676998097
2024,Single-family (>75% SF),113,429897.74144003063,166658.9058433194,0.6780315724995483
